Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICDO.Morphology;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAny;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
GnRH-Analogon (ADT);GnRH-Analogon;;;;;;;C61;C50;C61;C50;;;8140/3,8500/3,8520/3;;;high;;;unique;AI + GnRH-Analogon,Tamoxifen + GnRH-Analogon;TRUE;first-line;medium;adjuvant,palliative,long-term endocrine;high
HAM;Cytarabin ;Mitoxantron;;;;;;C92;C91, C93, D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3;;;medium;;;unique;MAV;FALSE;first-line;medium;induction,consolidation;medium
Hyper-CVAD;Cyclophosphamid;Vincristin;Doxorubicin;Dexamethason;Mesna;;;C91, C83;C85, C88;C42, C77;C77;C91.0, C83.7;;9811/3,9835/3,9687/3;;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
Ibrutinib;Ibrutinib;;;;;;;C91;C83, C88;C42;C77;C91.1;C83.1, C88.0;9823/3,9673/3,9761/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
ICE;Carboplatin;Etoposid;Ifosfamid;;;;;C81, C83, C85;C34, C40, C41, C49, C62, C84, C86;C77;C34, C40, C41, C49, C62, C77;C81, C83.3, C85;;9680/3,9690/3,9673/3,9650/3-9667/3;;;high;;;unique;DeVIC,R-DeVIC,R-ICE;FALSE;second-line+;high;salvage;high
IEV;Epirubicin;Etoposid;Ifosfamid;;;;;C81, C83, C85;C49, C40, C41;C77;C49, C40, C41;C81, C83.3, C85;;9680/3,9690/3,9673/3,9650/3-9667/3;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
Imatinib;Imatinib;;;;;;;C92, C16, C17;C91, C18, C48, C49;C42, C16, C17;C42, C18, C48, C49;C92.1, C16, C17;;9863/3,9875/3,8936/3;;BCR-ABL1-positive, KIT-positive;high;;;unique;;TRUE;first-line;high;palliative,adjuvant;high
IMVP-16;Etoposid;Ifosfamid;Methotrexat;;;;;C83, C85;C81, C84;C77;C77;C83.3, C85;;9680/3,9690/3,9673/3;;;medium;;;unique;SMILE;FALSE;second-line+;high;salvage;high
Instillation Intrathekal Quadrupel;Cytarabin;Methotrexat;Dexamethason;Rituximab;;;;C83, C85, C91;C92, C84, C86;C70;C77, C42;C83.3, C85, C91;;9680/3,9690/3,9673/3;CD20-positive;;medium;;;unique;;FALSE;;;CNS-directed;high
Instillation Intrathekal Tripel;Cytarabin;Methotrexat;Dexamethason;;;;;C91, C83, C85;C92, C84, C86, C50, C34;C70;C77, C42;C91.0, C83.3, C85;;9811/3,9835/3,9680/3,9690/3,9673/3;;;medium;;;unique;Instillation Intrathekal Quadrupel;FALSE;;;CNS-directed;high
IRd;Ixazomib;Lenalidomid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Knospe;Chlorambucil;Prednison;;;;;;C91;C82, C83, C88;C42;C77;C91.1;;9823/3;;;high;;;unique;Knospe modifiziert,R-MCP;FALSE;first-line;medium;palliative;high
Knospe modifiziert;Chlorambucil;Prednison;Rituximab;;;;;C91;C82, C88;C42;C77;C91.1;;9823/3;CD20-positive;;high;;;unique;R-MCP;FALSE;first-line;medium;palliative;high
KRD;Carfilzomib;Lenalidomid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Lanreotid;Lanreotid;;;;;;;C25, C17, C18;C34, C19, C20;C25, C17, C18;C34, C19, C20;C25.4, C17, C18;;8240/3,8246/3,8249/3;SSTR-positive;;high;;;unique;;TRUE;first-line;high;palliative;high
Lenvatinib;Lenvatinib;;;;;;;C22, C73;C54, C64;C22, C73;C54, C64;C22.0, C73;;8170/3,8330/3,8340/3,8260/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Letrozol mono;Letrozol;;;;;;;C50;C54;C50;C54;;;8500/3,8520/3;HR-positive;;high;;;unique;Palbociclib + Letrozol,Ribociclib + Letrozol;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
Lomustin mono;Lomustin;;;;;;;C71;C70, C72;C71;C70, C72;;;9440/3,9445/3;;;high;;;unique;BOLD,PCV;TRUE;second-line+;high;palliative;high
MAMAC;Amsacrin;Cytarabin;;;;;;C92;C91;C42;C42;C92.0;;9861/3,9895/3,9896/3;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
MAP;Methotrexat;Doxorubicin;Cisplatin;;;;;C40, C41;C49;C40, C41;C49;;;9180/3-9187/3;;;high;;;unique;M-VAC;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
MATRix;Cytarabin;Methotrexat;Rituximab;Thiotepa;;;;C83;C85;C71;C77;C83.3;;9680/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
MAV;Cytarabin;Etoposid;Mitoxantron;;;;;C92;C91, D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3;;;medium;;;unique;;FALSE;;;salvage;low
M-Cavi;Carboplatin;Methotrexat;Vinblastin;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;;;8120/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Medroxyprogesteronacetat;Medroxyprogesteronacetat;;;;;;;C54;C56;C54;C56;;;8380/3;HR-positive;;high;;;unique;;TRUE;;;palliative,long-term endocrine;medium
Megestrolacetat;Megestrolacetat;;;;;;;C54;C50;C54;C50;;;8380/3;HR-positive;;high;;;unique;;TRUE;;;palliative,long-term endocrine;medium
MPT;Melphalan;Thalidomid;Prednison;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
M-VAC;Cisplatin;Doxorubicin;Methotrexat;Vinblastin;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;;;8120/3;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,palliative;high
Nab-Paclitaxel mono;Nab-Paclitaxel;;;;;;;C50;C34, C25;C50;C34, C25;;;8500/3,8520/3;;;high;;;unique;Gem + Nab-Paclitaxel;TRUE;;;palliative;medium
nal-IRI + 5-FU/FA;Irinotecan liposomal;Fluorouracil;Folinsäure;;;;;C25;;C25;;C25.0-C25.3;;8140/3,8500/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Nigro;Fluorouracil;Mitomycin;;;;;;C21;;C21;;;;8070/3;;;high;;;unique;FUFAMI;FALSE;first-line;high;chemoradiotherapy,curative-intent;high
Nilotinib;Nilotinib;;;;;;;C92;C91;C42;C42;C92.1;;9863/3,9875/3;BCR-ABL1-positive;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Niraparib;Niraparib;;;;;;;C56, C57, C48;;C56, C57, C48;;;;8441/3,8460/3,8461/3;;;high;;;unique;;TRUE;;;maintenance;high
Nivolumab + Ipilimumab;Nivolumab;Ipilimumab;;;;;;C43, C64;C45, C18, C19, C20, C22, C34, C69;C43, C64;C45, C18, C19, C20, C22, C34, C69;;;8720/3,8310/3,8312/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Nivolumab mono;Nivolumab;;;;;;;C34, C43, C64;C32, C09, C10, C15, C16, C67, C22, C81, C45;C34, C43, C64;C32, C09, C10, C15, C16, C67, C22, C77, C45;;;;;;high;;;unique;Nivolumab + Ipilimumab;TRUE;first-line and later;medium;adjuvant,palliative;medium
O-Benda;Obinutuzumab;Bendamustin;;;;;;C82, C91;C83, C88, C85;C77, C42;C77;C82, C91.1;;9690/3,9691/3,9695/3,9698/3,9823/3;CD20-positive;;high;;;unique;;FALSE;first-line and later;medium;palliative;high
Octreotid LAR;Octreotid;;;;;;;C25, C17, C18;C34, C73, C19, C20;C25, C17, C18;C34, C73, C19, C20;C25.4, C17, C18;;8240/3,8246/3,8249/3;SSTR-positive;;high;;;unique;;TRUE;first-line;high;palliative;high
Olaparib;Olaparib;;;;;;;C50, C56, C61, C25;C57, C48;C50, C56, C61, C25;C57, C48;C50, C56, C61, C25.0-C25.3;;8441/3,8460/3,8461/3,8500/3,8520/3,8140/3;BRCA1/2-mutated;;high;;;unique;;TRUE;;;maintenance,palliative;high
Osimertinib;Osimertinib;;;;;;;C34;;C34;;;;8140/3,8250/3,8255/3;EGFR-mutated;;high;;;unique;;TRUE;first-line;high;adjuvant,palliative;high
PAC;Cisplatin;Cyclophosphamid;Doxorubicin;;;;;C56, C54;C57, C48, C49;C56, C54;C57, C48, C49;;;8441/3,8460/3,8461/3,8380/3;;;medium;;;unique;;FALSE;first-line;medium;palliative;medium
Paclitaxel mono;Paclitaxel;;;;;;;C50;C56, C57, C48, C34, C15;C50;C56, C57, C48, C34, C15;;;8500/3,8520/3,8441/3,8460/3,8461/3;;;high;;;unique;CROSS,EC-P,PC,PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Carbo/Paclitaxel,Ramucirumab + Paclitaxel,TIP;TRUE;first-line and later;medium;adjuvant,palliative;medium
Paclitaxel/Cisplatin/Bevacizumab;Paclitaxel;Cisplatin;Bevacizumab;;;;;C53;;C53;;;;8070/3,8140/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Palbociclib + Letrozol;Palbociclib;Letrozol;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive, HER2-negative;;high;;;unique;;FALSE;first-line;high;palliative;high
Pazopanib;Pazopanib;;;;;;;C64, C49;C48;C64, C49;C48;;;8310/3,8312/3,8800/3-8890/3;;;high;;;unique;;TRUE;;;palliative;medium
PC;Carboplatin;Paclitaxel;;;;;;C56, C57, C48, C34, C54;C53, C15, C32, C67, C50, C37, C80;C56, C57, C48, C34, C54;C53, C15, C32, C67, C50, C37, C80;;;8441/3,8460/3,8461/3,8140/3,8250/3,8255/3;;;high;DG02;CROSS;resolvable by entity;PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE;first-line;high;palliative;high
PC mit Bevacizumab;Bevacizumab;Carboplatin;Paclitaxel;;;;;C56, C57, C48, C34;C53, C54, C18, C19, C20;C56, C57, C48, C34;C53, C54, C18, C19, C20;;;8441/3,8460/3,8461/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
PCV;Lomustin;Procarbazin;Vincristin;;;;;C71;C70, C72;C71;C70, C72;;;9450/3,9451/3;1p/19q-codeleted;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative;high
PE;Cisplatin;Etoposid;;;;;;C34;C37, C62, C56, C25, C80, C33;C34;C37, C62, C56, C25, C80, C33;;C37, C62, C56, C25.4, C80, C33;8041/3-8045/3,8240/3,8246/3,8249/3;;;high;;;unique;PEB,PEI,VIPD;FALSE;first-line;high;palliative,chemoradiotherapy;high
PEB;Bleomycin;Cisplatin;Etoposid;;;;;C62;C56, C38, C48, C71;C62;C56, C38, C48, C71;;;9060/3-9102/3;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
PE-Carbo;Carboplatin;Etoposid;;;;;;C34;C37, C25, C80, C33;C34;C37, C25, C80, C33;;C37, C25.4, C80, C33;8041/3-8045/3,8240/3,8246/3,8249/3;;;high;;;unique;Atezolizumab + Carbo/Etoposid,CEV,DeVIC,Durvalumab + Platin/Etoposid,ICE,R-DeVIC,R-ICE;FALSE;first-line;high;palliative;high
PEI;Cisplatin;Etoposid;Ifosfamid;;;;;C62;C34, C38, C48, C56, C49;C62;C34, C38, C48, C56, C49;;;9060/3-9102/3;;;high;;;unique;VIPD;FALSE;first-line and later;medium;salvage;medium
Pembro + Carbo/Paclitaxel;Pembrolizumab;Carboplatin;Paclitaxel;;;;;C34;C53;C34;C53;;;8070/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pembro + Carbo/Pem;Pembrolizumab;Carboplatin;Pemetrexed;;;;;C34;;C34;;;;8140/3,8250/3,8255/3;;;high;DG01;CarboPemPem;partly resolvable by entity;;FALSE;first-line;high;palliative;high
Pembro + Platin/5-FU;Pembrolizumab;Cisplatin;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31;;;8070/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pembrolizumab + Axitinib;Pembrolizumab;Axitinib;;;;;;C64;;C64;;;;8310/3,8312/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pembrolizumab mono;Pembrolizumab;;;;;;;C34, C43;C67, C65, C66, C68, C32, C09, C10, C15, C16, C18, C22, C53, C80;C34, C43;C67, C65, C66, C68, C32, C09, C10, C15, C16, C18, C22, C53, C80;;;;;;high;;;unique;CarboPemPem,EV + Pembrolizumab,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,Pembro + Platin/5-FU,Pembrolizumab + Axitinib;TRUE;first-line and later;medium;adjuvant,palliative;medium
PF;Cisplatin;Fluorouracil;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;;;8070/3;;;high;;;unique;ECF,EXTREME mit Cisplatin,PLF,Pembro + Platin/5-FU,TPF;FALSE;first-line;medium;palliative,neoadjuvant;medium
P-GEMOX;Pegaspargase;Gemcitabin;Oxaliplatin;;;;;C86;C84;C11, C30;C77;C86.0;;9719/3;;;high;;;unique;;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
PLD mono;Doxorubicin liposomal;;;;;;;C56, C57, C48;C50, C46;C56, C57, C48;C50, C46;;;8441/3,8460/3,8461/3;;;high;;;unique;;TRUE;second-line+;high;palliative;high
PLF;Cisplatin;Fluorouracil;Folinsäure;;;;;C16, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C16, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;;;8140/3,8144/3;;;medium;;;unique;;FALSE;first-line;high;palliative;high
Pola-R-CHP;Polatuzumab Vedotin;Rituximab;Cyclophosphamid;Doxorubicin;Prednison;;;C83;C85;C77;C77;C83.3;;9680/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Pom-Dex;Pomalidomid;Dexamethason;;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
PVAG-Schema;Doxorubicin;Gemcitabin;Vinblastin;Prednison;;;;C81;;C77;;;;9650/3-9667/3;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
PVBI;Bleomycin;Cisplatin;Ifosfamid;Vinblastin;;;;C62;C56, C38;C62;C56, C38;;;9060/3-9102/3;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
Ramucirumab + Paclitaxel;Ramucirumab;Paclitaxel;;;;;;C16, C15;;C16, C15;;;;8140/3,8144/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
R-BAC;Bendamustin;Cytarabin;Rituximab;;;;;C83;C82, C85, C88;C77;C77;C83.1;;9673/3;CD20-positive;;high;;;unique;;FALSE;second-line+;medium;salvage;high
R-Bendamustin;Bendamustin;Rituximab;;;;;;C82, C83, C88, C91;C85;C77, C42;C77;C82, C83.1, C88.4, C91.1;;9690/3,9691/3,9695/3,9698/3,9689/3,9699/3,9673/3,9823/3;CD20-positive;;high;;;unique;R-BAC;FALSE;first-line and later;medium;palliative;high
R-CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Rituximab;Prednison;;;C82, C83, C85;C88, C91, C86;C77;C77, C42;C82, C83.3, C85;;9680/3,9690/3,9691/3,9695/3,9698/3;CD20-positive;;high;;;unique;EPOCH-R;FALSE;first-line;high;curative-intent;high
R-CVP;Rituximab;Cyclophosphamid;Vincristin;Prednison;;;;C82, C83, C88;C85, C91;C77;C77, C42;C82, C83, C88.4;;9690/3,9691/3,9695/3,9698/3,9689/3,9699/3;CD20-positive;;high;;;unique;EPOCH-R,R-CHOP;FALSE;first-line;high;palliative;high
R-DeVIC;Carboplatin;Etoposid;Ifosfamid;Rituximab;Dexamethason;;;C83, C85;C82;C77;C77;C83.3, C85;;9680/3,9690/3,9673/3;CD20-positive;;medium;;;unique;;FALSE;second-line+;high;salvage;high
R-DHAP;Cisplatin;Cytarabin;Rituximab;Dexamethason;;;;C83, C85, C82;C88, C91;C77;C77, C42;C83.3, C85, C82;;9680/3,9690/3,9673/3;CD20-positive;;high;;;unique;;FALSE;second-line+;high;salvage;high
RD-Schema;Lenalidomid;Dexamethason;;;;;;C90;C88, C82, D46;C42;C42, D46;C90.0;;9732/3;;;high;;;unique;D-Rd,ELO-Rd,IRd,KRD,VRD;FALSE;first-line and later;medium;palliative;high
Regorafenib;Regorafenib;;;;;;;C18, C19, C20;C17, C16, C22;C18, C19, C20;C17, C16, C22;;;8140/3,8936/3;;;high;;;unique;;TRUE;second-line+;high;palliative;high
R-GemOx;Gemcitabin;Oxaliplatin;Rituximab;;;;;C83, C85;C82, C88;C77;C77;C83.3, C85;;9680/3,9690/3,9673/3;CD20-positive;;high;;;unique;;FALSE;second-line+;high;salvage,palliative;high
R-HAD;Cytarabin;Rituximab;Dexamethason;;;;;C83;C82, C85;C77;C77;C83.1;;9673/3;CD20-positive;;medium;;;unique;Instillation Intrathekal Quadrupel,R-DHAP;FALSE;second-line+;high;salvage;high
Ribociclib + Letrozol;Ribociclib;Letrozol;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive, HER2-negative;;high;;;unique;;FALSE;first-line;high;palliative;high
R-ICE;Carboplatin;Etoposid;Ifosfamid;Rituximab;;;;C83, C85;C82;C77;C77;C83.3, C85;;9680/3,9690/3,9673/3;CD20-positive;;high;;;unique;R-DeVIC;FALSE;second-line+;high;salvage;high
R-MCP;Chlorambucil;Mitoxantron;Rituximab;Prednison;;;;C82, C83, C88;C91, C85;C77;C42, C77;C82, C83, C88.4;;9690/3,9691/3,9695/3,9698/3,9689/3,9699/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;palliative;high
R-MP;Methotrexat;Procarbazin;Rituximab;;;;;C83;C85;C71;C77;C83.3;;9680/3;CD20-positive;;medium;;;unique;;FALSE;first-line;low;induction;medium
S-HAI;Cytarabin;Idarubicin;;;;;;C92;C91;C42;C42;C92.0;;9861/3,9895/3,9896/3;;;medium;;;unique;FLAG-Ida;FALSE;second-line+;high;salvage;high
SMILE;Asparaginase;Etoposid;Ifosfamid;Methotrexat;Dexamethason;;;C86;C84;C11, C30;C77;C86.0;;9719/3;;;high;;;unique;;FALSE;second-line+;high;salvage;high
Sorafenib;Sorafenib;;;;;;;C22;C73, C64;C22;C73, C64;C22.0;;8170/3,8330/3,8340/3,8260/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Streptozotocin + 5-FU;Streptozotocin;Fluorouracil;;;;;;C25;C17;C25;C17;C25.4;;8240/3,8246/3,8249/3;;;high;;;unique;;FALSE;first-line and later;medium;palliative;medium
Sunitinib;Sunitinib;;;;;;;C64;C17, C16, C18, C25;C64;C17, C16, C18, C25;;C17, C16, C18, C25.4;8310/3,8312/3,8936/3,8240/3,8246/3,8249/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
TAC ;Cyclophosphamid;Docetaxel;Doxorubicin;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
TAD;Thioguanin;Cytarabin;Daunorubicin;;;;;C92;C91;C42;C42;C92.0;;9861/3,9895/3,9896/3;;;high;;;unique;;FALSE;first-line;high;induction,consolidation;high
Tamoxifen;Tamoxifen;;;;;;;C50;C56;C50;C56;;;8500/3,8520/3;HR-positive;;high;;;unique;Tamoxifen + GnRH-Analogon;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
Tamoxifen + GnRH-Analogon;Tamoxifen;GnRH-Analogon;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
TCED;Cyclophosphamid;Etoposid;Thalidomid;Dexamethason;;;;C90;;C42;;C90.0;;9732/3;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
TCH;Carboplatin;Docetaxel;Trastuzumab;;;;;C50;C16;C50;C16;;;8500/3,8520/3;HER2-positive;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
T-DM1;Trastuzumab Emtansin;;;;;;;C50;;C50;;;;8500/3,8520/3;HER2-positive;;high;;;unique;;TRUE;;;adjuvant,palliative;medium
T-DXd;Trastuzumab Deruxtecan;;;;;;;C50;C16, C34;C50;C16, C34;;;8500/3,8520/3;;HER2-positive, HER2-low;high;;;unique;;TRUE;second-line+;high;palliative;high
THP;Docetaxel;Trastuzumab;Pertuzumab;;;;;C50;;C50;;;;8500/3,8520/3;HER2-positive;;high;;;unique;;FALSE;first-line;high;palliative,neoadjuvant;high
TIP;Cisplatin;Ifosfamid;Paclitaxel;;;;;C62;C67, C65, C66, C56, C38, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C62;C67, C65, C66, C56, C38, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;;;9060/3-9102/3;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
TMZ;Temozolomid;;;;;;;C71;C70, C72, C43, C25, C75;C71;C70, C72, C43, C25, C75;;;9440/3,9445/3;;;high;;;unique;CAPTEM;TRUE;first-line and later;medium;chemoradiotherapy,adjuvant,palliative;high
Topotecan mono;Topotecan;;;;;;;C34;C56, C57, C48, C53;C34;C56, C57, C48, C53;;;8041/3-8045/3,8441/3,8460/3,8461/3;;;high;;;unique;;TRUE;second-line+;high;palliative;high
TPF;Cisplatin;Docetaxel;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;;;8070/3;;;high;;;unique;;FALSE;first-line;high;induction,neoadjuvant;high
Trabectedin;Trabectedin;;;;;;;C49;C48, C56;C49;C48, C56;;;8800/3-8890/3;;;high;;;unique;;TRUE;second-line+;high;palliative;high
Trifluridin/Tipiracil;Trifluridin;Tipiracil;;;;;;C18, C19, C20;C16;C18, C19, C20;C16;;;8140/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
VAC;Vincristin;Actinomycin D;Cyclophosphamid;;;;;C49;C40, C41, C57, C62, C56;C49;C40, C41, C57, C62, C56;;;8900/3-8920/3;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
VCD;Bortezomib;Cyclophosphamid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;first-line;high;induction;high
Vd;Bortezomib;Dexamethason;;;;;;C90;C88;C42;C77;C90.0;;9732/3;;;high;;;unique;D-VTd,VCD,VFD,VRD,VTD;FALSE;first-line and later;medium;palliative;high
VeIP;Cisplatin;Ifosfamid;Vinblastin;;;;;C62;C56, C38, C48;C62;C56, C38, C48;;;9060/3-9102/3;;;high;;;unique;PVBI;FALSE;second-line+;high;salvage;high
Venetoclax + Obinutuzumab;Venetoclax;Obinutuzumab;;;;;;C91;;C42;;C91.1;;9823/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;palliative;high
Venetoclax + Rituximab;Venetoclax;Rituximab;;;;;;C91;;C42;;C91.1;;9823/3;CD20-positive;;high;;;unique;;FALSE;second-line+;high;palliative;high
VFD;Bortezomib;Panobinostat;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
VIDE;Vincristin;Ifosfamid;Doxorubicin;Etoposid;;;;C40, C41, C49;C47;C40, C41, C49;C47;;;9260/3,9364/3;;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
VIPD;Cisplatin;Etoposid;Ifosfamid;Dexamethason;;;;C86;C83, C85;C11, C30, C77;C77;C86.0;;9719/3;;;medium;;;unique;;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
VMP;Bortezomib;Melphalan;Prednison;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;D-VMP;FALSE;first-line;high;palliative;high
VRD;Bortezomib;Lenalidomid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;first-line;high;induction;high
VTD;Bortezomib;Thalidomid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;D-VTd;FALSE;first-line;high;induction;high
XP;Capecitabin;Cisplatin;;;;;;C16, C15;C22, C23, C24, C11;C16, C15;C22, C23, C24, C11;;;8140/3,8144/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
