Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Context
Osimertinib;Osimertinib;;;;;;;C34;;C34;;high;;;unique;;TRUE;first-line;adjuvant,palliative
PAC;Cisplatin;Cyclophosphamid;Doxorubicin;;;;;C56, C54;C57, C48, C49;C56, C54;C57, C48, C49;medium;;;unique;;FALSE;first-line;palliative
Paclitaxel mono;Paclitaxel;;;;;;;C50;C56, C57, C48, C34, C15;C50;C56, C57, C48, C34, C15;high;;;unique;CROSS,EC-P,PC,PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Carbo/Paclitaxel,Ramucirumab + Paclitaxel,TIP;TRUE;first-line and later;adjuvant,palliative
Paclitaxel/Cisplatin/Bevacizumab;Paclitaxel;Cisplatin;Bevacizumab;;;;;C53;;C53;;high;;;unique;;FALSE;first-line;palliative
Palbociclib + Letrozol;Palbociclib;Letrozol;;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;palliative
Pazopanib;Pazopanib;;;;;;;C64, C49;C48;C64, C49;C48;high;;;unique;;TRUE;;palliative
PC;Carboplatin;Paclitaxel;;;;;;C56, C57, C48, C34, C54;C53, C15, C32, C67, C50, C37, C80;C56, C57, C48, C34, C54;C53, C15, C32, C67, C50, C37, C80;high;DG02;CROSS;resolvable by entity;PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE;first-line;palliative
PC mit Bevacizumab;Bevacizumab;Carboplatin;Paclitaxel;;;;;C56, C57, C48, C34;C53, C54, C18, C19, C20;C56, C57, C48, C34;C53, C54, C18, C19, C20;high;;;unique;;FALSE;first-line;palliative
PCV;Lomustin;Procarbazin;Vincristin;;;;;C71;C70, C72;C71;C70, C72;high;;;unique;;FALSE;first-line and later;adjuvant,palliative
PE;Cisplatin;Etoposid;;;;;;C34;C37, C62, C56, C25, C80, C33;C34;C37, C62, C56, C25, C80, C33;high;;;unique;PEB,PEI,VIPD;FALSE;first-line;palliative,chemoradiotherapy
PEB;Bleomycin;Cisplatin;Etoposid;;;;;C62;C56, C38, C48, C71;C62;C56, C38, C48, C71;high;;;unique;;FALSE;first-line;curative-intent
PE-Carbo;Carboplatin;Etoposid;;;;;;C34;C37, C25, C80, C33;C34;C37, C25, C80, C33;high;;;unique;Atezolizumab + Carbo/Etoposid,CEV,DeVIC,Durvalumab + Platin/Etoposid,ICE,R-DeVIC,R-ICE;FALSE;first-line;palliative
PEI;Cisplatin;Etoposid;Ifosfamid;;;;;C62;C34, C38, C48, C56, C49;C62;C34, C38, C48, C56, C49;high;;;unique;VIPD;FALSE;first-line and later;salvage
Pembro + Carbo/Paclitaxel;Pembrolizumab;Carboplatin;Paclitaxel;;;;;C34;C53;C34;C53;high;;;unique;;FALSE;first-line;palliative
Pembro + Carbo/Pem;Pembrolizumab;Carboplatin;Pemetrexed;;;;;C34;;C34;;high;DG01;CarboPemPem;partly resolvable by entity;;FALSE;first-line;palliative
Pembro + Platin/5-FU;Pembrolizumab;Cisplatin;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31;high;;;unique;;FALSE;first-line;palliative
Pembrolizumab + Axitinib;Pembrolizumab;Axitinib;;;;;;C64;;C64;;high;;;unique;;FALSE;first-line;palliative
Pembrolizumab mono;Pembrolizumab;;;;;;;C34, C43;C67, C65, C66, C68, C32, C09, C10, C15, C16, C18, C22, C53, C80;C34, C43;C67, C65, C66, C68, C32, C09, C10, C15, C16, C18, C22, C53, C80;high;;;unique;CarboPemPem,EV + Pembrolizumab,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,Pembro + Platin/5-FU,Pembrolizumab + Axitinib;TRUE;first-line and later;adjuvant,palliative
PF;Cisplatin;Fluorouracil;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;high;;;unique;ECF,EXTREME mit Cisplatin,PLF,Pembro + Platin/5-FU,TPF;FALSE;first-line;palliative,neoadjuvant
P-GEMOX;Pegaspargase;Gemcitabin;Oxaliplatin;;;;;C86;C84;C11, C30;C77;high;;;unique;;FALSE;first-line and later;chemoradiotherapy,salvage
PLD mono;Doxorubicin liposomal;;;;;;;C56, C57, C48;C50, C46;C56, C57, C48;C50, C46;high;;;unique;;TRUE;second-line+;palliative
PLF;Cisplatin;Fluorouracil;Folinsäure;;;;;C16, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C16, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;medium;;;unique;;FALSE;first-line;palliative
Pola-R-CHP;Polatuzumab Vedotin;Rituximab;Cyclophosphamid;Doxorubicin;Prednison;;;C83;C85;C77;C77;high;;;unique;;FALSE;first-line;curative-intent
Pom-Dex;Pomalidomid;Dexamethason;;;;;;C90;;C42;;high;;;unique;;FALSE;second-line+;palliative
PVAG-Schema;Doxorubicin;Gemcitabin;Vinblastin;Prednison;;;;C81;;C77;;high;;;unique;;FALSE;first-line;curative-intent
PVBI;Bleomycin;Cisplatin;Ifosfamid;Vinblastin;;;;C62;C56, C38;C62;C56, C38;medium;;;unique;;FALSE;second-line+;salvage
Ramucirumab + Paclitaxel;Ramucirumab;Paclitaxel;;;;;;C16, C15;;C16, C15;;high;;;unique;;FALSE;second-line+;palliative
R-BAC;Bendamustin;Cytarabin;Rituximab;;;;;C83;C82, C85, C88;C77;C77;high;;;unique;;FALSE;second-line+;salvage
R-Bendamustin;Bendamustin;Rituximab;;;;;;C82, C83, C88, C91;C85;C77, C42;C77;high;;;unique;R-BAC;FALSE;first-line and later;palliative
R-CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Rituximab;Prednison;;;C82, C83, C85;C88, C91, C86;C77;C77, C42;high;;;unique;EPOCH-R;FALSE;first-line;curative-intent
R-CVP;Rituximab;Cyclophosphamid;Vincristin;Prednison;;;;C82, C83, C88;C85, C91;C77;C77, C42;high;;;unique;EPOCH-R,R-CHOP;FALSE;first-line;palliative
R-DeVIC;Carboplatin;Etoposid;Ifosfamid;Rituximab;Dexamethason;;;C83, C85;C82;C77;C77;medium;;;unique;;FALSE;second-line+;salvage
R-DHAP;Cisplatin;Cytarabin;Rituximab;Dexamethason;;;;C83, C85, C82;C88, C91;C77;C77, C42;high;;;unique;;FALSE;second-line+;salvage
RD-Schema;Lenalidomid;Dexamethason;;;;;;C90;C88, C82, D46;C42;C42, D46;high;;;unique;D-Rd,ELO-Rd,IRd,KRD,VRD;FALSE;first-line and later;palliative
Regorafenib;Regorafenib;;;;;;;C18, C19, C20;C17, C16, C22;C18, C19, C20;C17, C16, C22;high;;;unique;;TRUE;second-line+;palliative
R-GemOx;Gemcitabin;Oxaliplatin;Rituximab;;;;;C83, C85;C82, C88;C77;C77;high;;;unique;;FALSE;second-line+;salvage,palliative
R-HAD;Cytarabin;Rituximab;Dexamethason;;;;;C83;C82, C85;C77;C77;medium;;;unique;Instillation Intrathekal Quadrupel,R-DHAP;FALSE;second-line+;salvage
Ribociclib + Letrozol;Ribociclib;Letrozol;;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;palliative
R-ICE;Carboplatin;Etoposid;Ifosfamid;Rituximab;;;;C83, C85;C82;C77;C77;high;;;unique;R-DeVIC;FALSE;second-line+;salvage
R-MCP;Chlorambucil;Mitoxantron;Rituximab;Prednison;;;;C82, C83, C88;C91, C85;C77;C42, C77;high;;;unique;;FALSE;first-line;palliative
R-MP;Methotrexat;Procarbazin;Rituximab;;;;;C83;C85;C71;C77;medium;;;unique;;FALSE;first-line;induction
S-HAI;Cytarabin;Idarubicin;;;;;;C92;C91;C42;C42;medium;;;unique;FLAG-Ida;FALSE;second-line+;salvage
SMILE;Asparaginase;Etoposid;Ifosfamid;Methotrexat;Dexamethason;;;C86;C84;C11, C30;C77;high;;;unique;;FALSE;second-line+;salvage
Sorafenib;Sorafenib;;;;;;;C22;C73, C64;C22;C73, C64;high;;;unique;;TRUE;first-line and later;palliative
Streptozotocin + 5-FU;Streptozotocin;Fluorouracil;;;;;;C25;C17;C25;C17;high;;;unique;;FALSE;first-line and later;palliative
Sunitinib;Sunitinib;;;;;;;C64;C17, C16, C18, C25;C64;C17, C16, C18, C25;high;;;unique;;TRUE;first-line and later;palliative
TAC ;Cyclophosphamid;Docetaxel;Doxorubicin;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
TAD;Thioguanin;Cytarabin;Daunorubicin;;;;;C92;C91;C42;C42;high;;;unique;;FALSE;first-line;induction,consolidation
Tamoxifen;Tamoxifen;;;;;;;C50;C56;C50;C56;high;;;unique;Tamoxifen + GnRH-Analogon;TRUE;first-line and later;adjuvant,palliative,long-term endocrine
Tamoxifen + GnRH-Analogon;Tamoxifen;GnRH-Analogon;;;;;;C50;;C50;;high;;;unique;;FALSE;first-line and later;adjuvant,palliative,long-term endocrine
TCED;Cyclophosphamid;Etoposid;Thalidomid;Dexamethason;;;;C90;;C42;;medium;;;unique;;FALSE;second-line+;salvage
TCH;Carboplatin;Docetaxel;Trastuzumab;;;;;C50;C16;C50;C16;high;;;unique;;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
T-DM1;Trastuzumab Emtansin;;;;;;;C50;;C50;;high;;;unique;;TRUE;;adjuvant,palliative
T-DXd;Trastuzumab Deruxtecan;;;;;;;C50;C16, C34;C50;C16, C34;high;;;unique;;TRUE;second-line+;palliative
THP;Docetaxel;Trastuzumab;Pertuzumab;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;palliative,neoadjuvant
TIP;Cisplatin;Ifosfamid;Paclitaxel;;;;;C62;C67, C65, C66, C56, C38, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C62;C67, C65, C66, C56, C38, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;medium;;;unique;;FALSE;second-line+;salvage
TMZ;Temozolomid;;;;;;;C71;C70, C72, C43, C25, C75;C71;C70, C72, C43, C25, C75;high;;;unique;CAPTEM;TRUE;first-line and later;chemoradiotherapy,adjuvant,palliative
Topotecan mono;Topotecan;;;;;;;C34;C56, C57, C48, C53;C34;C56, C57, C48, C53;high;;;unique;;TRUE;second-line+;palliative
TPF;Cisplatin;Docetaxel;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15, C16;high;;;unique;;FALSE;first-line;induction,neoadjuvant
Trabectedin;Trabectedin;;;;;;;C49;C48, C56;C49;C48, C56;high;;;unique;;TRUE;second-line+;palliative
Trifluridin/Tipiracil;Trifluridin;Tipiracil;;;;;;C18, C19, C20;C16;C18, C19, C20;C16;high;;;unique;;FALSE;second-line+;palliative
VAC;Vincristin;Actinomycin D;Cyclophosphamid;;;;;C49;C40, C41, C57, C62, C56;C49;C40, C41, C57, C62, C56;high;;;unique;;FALSE;first-line;curative-intent
VCD;Bortezomib;Cyclophosphamid;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;first-line;induction
Vd;Bortezomib;Dexamethason;;;;;;C90;C88;C42;C77;high;;;unique;D-VTd,VCD,VFD,VRD,VTD;FALSE;first-line and later;palliative
VeIP;Cisplatin;Ifosfamid;Vinblastin;;;;;C62;C56, C38, C48;C62;C56, C38, C48;high;;;unique;PVBI;FALSE;second-line+;salvage
Venetoclax + Obinutuzumab;Venetoclax;Obinutuzumab;;;;;;C91;;C42;;high;;;unique;;FALSE;first-line;palliative
Venetoclax + Rituximab;Venetoclax;Rituximab;;;;;;C91;;C42;;high;;;unique;;FALSE;second-line+;palliative
VFD;Bortezomib;Panobinostat;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;second-line+;palliative
VIDE;Vincristin;Ifosfamid;Doxorubicin;Etoposid;;;;C40, C41, C49;C47;C40, C41, C49;C47;high;;;unique;;FALSE;first-line;induction,curative-intent
VIPD;Cisplatin;Etoposid;Ifosfamid;Dexamethason;;;;C86;C83, C85;C11, C30, C77;C77;medium;;;unique;;FALSE;first-line and later;chemoradiotherapy,salvage
VMP;Bortezomib;Melphalan;Prednison;;;;;C90;;C42;;high;;;unique;D-VMP;FALSE;first-line;palliative
VRD;Bortezomib;Lenalidomid;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;first-line;induction
VTD;Bortezomib;Thalidomid;Dexamethason;;;;;C90;;C42;;high;;;unique;D-VTd;FALSE;first-line;induction
XP;Capecitabin;Cisplatin;;;;;;C16, C15;C22, C23, C24, C11;C16, C15;C22, C23, C24, C11;high;;;unique;;FALSE;first-line;palliative
