Unnamed: 0;Protocol;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;ICD10_Main;ICD10_Secondary;ICDO_Topography_Main;ICDO_Topography_Secondary;Confidence;Note;DuplicateGroup;DuplicateGroup_Members;DuplicateGroup_Disambiguation;SubsetOf;SingleAgent
117;TPF;Cisplatin;Docetaxel;Fluorouracil;NA;NA;NA;NA;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31,C15,C16;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31,C15,C16;high;Induction chemotherapy, head and neck SCC.;;;unique;;FALSE
118;VCD;Bortezomib;Cyclophoshamid;Dexamethason;NA;NA;NA;NA;C90;;C42;;high;;;;unique;;FALSE
119;VFD;Bortezomib;Panobinostat;Dexamethason;NA;NA;NA;NA;C90;;C42;;high;Bortezomib/panobinostat/dexamethasone.;;;unique;;FALSE
120;VIPD;Carboplatin;Etoposid;Ifosfamid;Dexamethason;NA;NA;NA;C86;C83,C85;C11,C30,C77;C77;medium;NK/T-cell lymphoma with radiotherapy.;DG09;DeVIC;partly resolvable by entity;R-DeVIC;FALSE
121;VMP;Bortezomib;Melphalan;Prednison;NA;NA;NA;NA;C90;;C42;;high;;;;unique;D-VMP;FALSE
122;VRD;Bortezomib;Lenalidomid;Dexamethason;NA;NA;NA;NA;C90;;C42;;high;;;;unique;;FALSE
123;VTD;Bortezomib;Thalidomid;Dexamethason;NA;NA;NA;NA;C90;;C42;;high;;;;unique;D-VTd;FALSE
124;XELOX;Capecitabin;Oxaliplatin;NA;NA;NA;NA;NA;C18,C19,C20,C16;C15,C25,C22,C23,C24;C18,C19,C20,C16;C15,C25,C22,C23,C24;high;;DG04;CAPOX;not resolvable by entity;EOX;FALSE
125;XP;Capecitabin;Cisplatin;NA;NA;NA;NA;NA;C16,C15;C22,C23,C24,C11;C16,C15;C22,C23,C24,C11;high;;;;unique;;FALSE
126;Instillation Intrathekal Tripel;Cytarabin;Methotrexat;Dexamethason;NA;NA;NA;NA;C91,C83,C85;C92,C84,C86,C50,C34;C70;C77,C42;medium;"CNS prophylaxis/treatment; topography is the meninges (C70) rather than the primary site.";;;unique;Instillation Intrathekal Quadrupel;FALSE
127;Instillation Intrathekal Quadrupel;Cytarabin;Methotrexat;Dexamethason;Rituximab;NA;NA;NA;C83,C85,C91;C92,C84,C86;C70;C77,C42;medium;Rituximab-containing intrathecal quadruple therapy, B-cell lymphoma with CNS involvement.;;;unique;;FALSE
128;GemOx;Gemcitabin;Oxaliplatin;NA;NA;NA;NA;NA;C22,C23,C24,C25;C83,C85,C84,C86,C16;C22,C23,C24,C25;C77,C16;high;"Biliary tract (intra-/extrahepatic cholangiocarcinoma, gallbladder) and pancreatic adenocarcinoma; alternative to Gem-Cis in cisplatin-unfit patients. Also used as a lymphoma salvage backbone. HCC covered by C22.";;;unique;GELOX,GOP,P-GEMOX,R-GemOx;FALSE
129;GC (Gem/Cis);Cisplatin;Gemcitabin;NA;NA;NA;NA;NA;C67,C65,C66,C68,C22,C23,C24,C34;C25,C45,C53,C11;C67,C65,C66,C68,C22,C23,C24,C34;C25,C45,C53,C11;high;Urothelial carcinoma (the classic 'GC'), biliary tract and NSCLC. Same regimen as Gem-Cis (row 64) under a different name.;DG14;Gem-Cis;not resolvable by entity;Durvalumab + Gem/Cis,GDP-Schema;FALSE
130;GC (Gem/Carbo);Carboplatin;Gemcitabin;NA;NA;NA;NA;NA;C67,C65,C66,C68,C34,C56;C50,C45,C57,C48,C22,C23,C24;C67,C65,C66,C68,C34,C56;C50,C45,C57,C48,C22,C23,C24;high;Carboplatin variant for cisplatin-unfit patients. Same regimen as Gem-Carbo (row 63) under a different name.;DG13;Gem-Carbo;not resolvable by entity;GC-B;FALSE
131;EPOCH;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Prednison;NA;NA;C83,C84,C85;C86,C82;C77;C77,C38;high;"Dose-adjusted infusional EPOCH. Substance set is identical to CHOEP (row 21); the difference is continuous infusion and dose adjustment. C38 in secondary topography covers primary mediastinal B-cell lymphoma.";DG06;CHOEP;partly resolvable by entity;BEACOPP,EPOCH-R;FALSE
132;EPOCH-R;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Rituximab;Prednison;NA;C83,C85;C82,C88,C91;C77;C77,C38;high;DA-EPOCH-R: DLBCL, primary mediastinal B-cell lymphoma, high-grade B-cell lymphoma with MYC/BCL2 rearrangement, Burkitt, HIV-associated lymphoma. C38 in secondary topography covers mediastinal presentation.;;;unique;;FALSE
133;CarboPemPem;Carboplatin;Pemetrexed;NA;NA;NA;NA;NA;C34,C45;C48,C38,C33;C34,C45;C48,C38,C33;high;Carboplatin/pemetrexed induction followed by pemetrexed maintenance: non-squamous NSCLC and pleural mesothelioma. Pemetrexed appears once although it is given in both phases.;;;unique;Pembro + Carbo/Pem;FALSE
134;VeIP;Cisplatin;Ifosfamid;Vinblastin;NA;NA;NA;NA;C62;C56,C38,C48;C62;C56,C38,C48;high;Vinblastin/Ifosfamid/Cisplatin: conventional-dose salvage for relapsed or refractory germ cell tumours, gonadal and extragonadal. Substance set is identical to PVBI (row 96), which is very likely this regimen under a garbled name. Mesna omitted for consistency with PEI/TIP/ICE.;DG18;PVBI;not resolvable by entity;;FALSE
135;VIP;Cisplatin;Etoposid;Ifosfamid;NA;NA;NA;NA;C62;C34,C38,C48,C56,C49;C62;C34,C38,C48,C56,C49;high;"Etoposid(VP-16)/Ifosfamid/Cisplatin: germ cell tumours as salvage or first line where bleomycin is contraindicated; also SCLC and thymic tumours. Identical substance set to PEI (row 92) - same regimen, German vs. English acronym. CAUTION: in older literature VIP sometimes denotes the vinblastine-based schedule now called VeIP.";DG17;PEI;not resolvable by entity;;FALSE
136;Paclitaxel mono;Paclitaxel;NA;NA;NA;NA;NA;NA;C50;C56,C57,C48,C34,C15;C50;C56,C57,C48,C34,C15;high;Weekly paclitaxel monotherapy.;;;unique;CROSS,CarboTax,EC-P,GOP,PC,PC mit Bevacizumab,PC ohne Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Carbo/Paclitaxel,Ramucirumab + Paclitaxel,TIP;TRUE
137;nab-Paclitaxel mono;nab-Paclitaxel;NA;NA;NA;NA;NA;NA;C50;C34,C25;C50;C34,C25;high;"Albumin-bound paclitaxel; distinct product from conventional paclitaxel.";;;unique;Gem + nab-Paclitaxel;TRUE
138;THP;Docetaxel;Trastuzumab;Pertuzumab;NA;NA;NA;NA;C50;;C50;;high;Docetaxel/Trastuzumab/Pertuzumab: first line in HER2-positive metastatic breast cancer.;;;unique;;FALSE
139;T-DM1;Trastuzumab Emtansin;NA;NA;NA;NA;NA;NA;C50;;C50;;high;"Antibody-drug conjugate; adjuvant after non-pCR and in metastatic HER2-positive disease.";;;unique;;TRUE
140;T-DXd;Trastuzumab Deruxtecan;NA;NA;NA;NA;NA;NA;C50;C16,C34;C50;C16,C34;high;Also used in HER2-low breast cancer and HER2-positive gastric cancer.;;;unique;;TRUE
141;Eribulin;Eribulin;NA;NA;NA;NA;NA;NA;C50;C49;C50;C49;high;"Pretreated metastatic breast cancer; also liposarcoma.";;;unique;;TRUE
142;Palbociclib + Letrozol;Palbociclib;Letrozol;NA;NA;NA;NA;NA;C50;;C50;;high;CDK4/6 inhibitor plus aromatase inhibitor, HR-positive/HER2-negative. Ribociclib and abemaciclib are used interchangeably in this position.;;;unique;;FALSE
143;Ribociclib + Letrozol;Ribociclib;Letrozol;NA;NA;NA;NA;NA;C50;;C50;;high;CDK4/6 inhibitor plus aromatase inhibitor, HR-positive/HER2-negative.;;;unique;;FALSE
144;Abemaciclib + Fulvestrant;Abemaciclib;Fulvestrant;NA;NA;NA;NA;NA;C50;;C50;;high;CDK4/6 inhibitor plus SERD after progression on endocrine therapy.;;;unique;;FALSE
145;Olaparib;Olaparib;NA;NA;NA;NA;NA;NA;C50,C56,C61,C25;C57,C48;C50,C56,C61,C25;C57,C48;high;"PARP inhibitor; BRCA-mutated breast, ovarian, prostate and pancreatic cancer.";;;unique;;TRUE
146;Niraparib;Niraparib;NA;NA;NA;NA;NA;NA;C56,C57,C48;;C56,C57,C48;;high;PARP maintenance in ovarian cancer.;;;unique;;TRUE
147;Docetaxel + Prednison;Docetaxel;Prednison;NA;NA;NA;NA;NA;C61;;C61;;high;Given with ongoing androgen deprivation, in hormone-sensitive and castration-resistant disease.;;;unique;;FALSE
148;Cabazitaxel + Prednison;Cabazitaxel;Prednison;NA;NA;NA;NA;NA;C61;;C61;;high;Castration-resistant prostate cancer after docetaxel.;;;unique;;FALSE
149;Abirateron + Prednison;Abirateron;Prednison;NA;NA;NA;NA;NA;C61;;C61;;high;"Androgen biosynthesis inhibitor; given with androgen deprivation.";;;unique;;FALSE
150;Enzalutamid;Enzalutamid;NA;NA;NA;NA;NA;NA;C61;;C61;;high;"Androgen receptor inhibitor; given with androgen deprivation.";;;unique;;TRUE
151;PE-Carbo;Carboplatin;Etoposid;NA;NA;NA;NA;NA;C34;C37,C25,C80,C33;C34;C37,C25,C80,C33;high;Carboplatin/etoposide: SCLC and extrapulmonary neuroendocrine carcinoma.;;;unique;Atezolizumab + Carbo/Etoposid,CEV,DeVIC,Durvalumab + Platin/Etoposid,ICE,R-DeVIC,R-ICE,VIPD;FALSE
152;Cis-Pem;Cisplatin;Pemetrexed;NA;NA;NA;NA;NA;C34,C45;C48,C38;C34,C45;C48,C38;high;Non-squamous NSCLC and pleural mesothelioma.;;;unique;;FALSE
153;Topotecan mono;Topotecan;NA;NA;NA;NA;NA;NA;C34;C56,C57,C48,C53;C34;C56,C57,C48,C53;high;"Relapsed SCLC; also relapsed ovarian and cervical cancer.";;;unique;;TRUE
154;Pembrolizumab mono;Pembrolizumab;NA;NA;NA;NA;NA;NA;C34,C43;C67,C65,C66,C68,C32,C09,C10,C15,C16,C18,C22,C53,C80;C34,C43;C67,C65,C66,C68,C32,C09,C10,C15,C16,C18,C22,C53,C80;high;"PD-1 inhibitor across many entities; also approved tissue-agnostically for MSI-high/dMMR and TMB-high tumours, so the secondary list is not exhaustive.";;;unique;EV + Pembrolizumab,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,Pembro + Platin/5-FU,Pembrolizumab + Axitinib;TRUE
155;Nivolumab mono;Nivolumab;NA;NA;NA;NA;NA;NA;C34,C43,C64;C32,C09,C10,C15,C16,C67,C22,C81,C45;C34,C43,C64;C32,C09,C10,C15,C16,C67,C22,C77,C45;high;"PD-1 inhibitor; broad indication range including adjuvant use in oesophageal and urothelial cancer.";;;unique;Nivolumab + Ipilimumab;TRUE
156;Pembro + Carbo/Pem;Pembrolizumab;Carboplatin;Pemetrexed;NA;NA;NA;NA;C34;;C34;;high;First line in metastatic non-squamous NSCLC (KEYNOTE-189).;;;unique;;FALSE
157;Pembro + Carbo/Paclitaxel;Pembrolizumab;Carboplatin;Paclitaxel;NA;NA;NA;NA;C34;C53;C34;C53;high;First line in metastatic squamous NSCLC (KEYNOTE-407).;;;unique;;FALSE
158;Atezolizumab + Carbo/Etoposid;Atezolizumab;Carboplatin;Etoposid;NA;NA;NA;NA;C34;;C34;;high;First line in extensive-stage SCLC (IMpower133).;;;unique;;FALSE
159;Durvalumab + Platin/Etoposid;Durvalumab;Carboplatin;Etoposid;NA;NA;NA;NA;C34;;C34;;high;"First line in extensive-stage SCLC (CASPIAN); cisplatin may replace carboplatin.";;;unique;;FALSE
160;Durvalumab mono;Durvalumab;NA;NA;NA;NA;NA;NA;C34;C22,C23,C24;C34;C22,C23,C24;high;Consolidation after chemoradiotherapy in stage III NSCLC (PACIFIC).;;;unique;Durvalumab + Gem/Cis,Durvalumab + Platin/Etoposid;TRUE
161;Osimertinib;Osimertinib;NA;NA;NA;NA;NA;NA;C34;;C34;;high;"Third-generation EGFR TKI; EGFR-mutated NSCLC.";;;unique;;TRUE
162;Alectinib;Alectinib;NA;NA;NA;NA;NA;NA;C34;;C34;;high;"ALK inhibitor; ALK-rearranged NSCLC.";;;unique;;TRUE
163;Nivolumab + Ipilimumab;Nivolumab;Ipilimumab;NA;NA;NA;NA;NA;C43,C64;C45,C18,C19,C20,C22,C34,C69;C43,C64;C45,C18,C19,C20,C22,C34,C69;high;Dual checkpoint blockade: melanoma, renal cell carcinoma, mesothelioma, MSI-high colorectal cancer, hepatocellular carcinoma.;;;unique;;FALSE
164;Dabrafenib + Trametinib;Dabrafenib;Trametinib;NA;NA;NA;NA;NA;C43;C34,C71,C73;C43;C34,C71,C73;high;BRAF/MEK inhibition in BRAF V600-mutated tumours.;;;unique;;FALSE
165;Encorafenib + Binimetinib;Encorafenib;Binimetinib;NA;NA;NA;NA;NA;C43;C18,C19,C20;C43;C18,C19,C20;high;"BRAF/MEK inhibition; encorafenib plus cetuximab is the colorectal variant.";;;unique;;FALSE
166;DTIC mono;Dacarbazin;NA;NA;NA;NA;NA;NA;C43;C49,C81;C43;C49,C77;medium;"Dacarbazine monotherapy; largely superseded by immunotherapy and targeted therapy.";;;unique;A+AVD,ABVD,AVD,BOLD,BrECADD,DVP;TRUE
167;Pembrolizumab + Axitinib;Pembrolizumab;Axitinib;NA;NA;NA;NA;NA;C64;;C64;;high;First line in advanced renal cell carcinoma.;;;unique;;FALSE
168;Sunitinib;Sunitinib;NA;NA;NA;NA;NA;NA;C64;C17,C16,C18,C25;C64;C17,C16,C18,C25;high;"Renal cell carcinoma; also imatinib-resistant GIST and pancreatic neuroendocrine tumours.";;;unique;;TRUE
169;Cabozantinib;Cabozantinib;NA;NA;NA;NA;NA;NA;C64;C22,C73;C64;C22,C73;high;Renal cell carcinoma, hepatocellular carcinoma, medullary thyroid carcinoma.;;;unique;;TRUE
170;Pazopanib;Pazopanib;NA;NA;NA;NA;NA;NA;C64,C49;C48;C64,C49;C48;high;Renal cell carcinoma and pretreated soft tissue sarcoma.;;;unique;;TRUE
171;Gem + nab-Paclitaxel;Gemcitabin;nab-Paclitaxel;NA;NA;NA;NA;NA;C25;;C25;;high;First-line standard in metastatic pancreatic adenocarcinoma.;;;unique;;FALSE
172;nal-IRI + 5-FU/FA;Irinotecan liposomal;Fluorouracil;Folinsäure;NA;NA;NA;NA;C25;;C25;;high;Liposomal irinotecan after gemcitabine-based therapy. Distinct product from conventional irinotecan.;;;unique;;FALSE
173;Ramucirumab + Paclitaxel;Ramucirumab;Paclitaxel;NA;NA;NA;NA;NA;C16,C15;;C16,C15;;high;Second-line standard in advanced gastric and gastro-oesophageal junction cancer.;;;unique;;FALSE
174;Atezolizumab + Bevacizumab;Atezolizumab;Bevacizumab;NA;NA;NA;NA;NA;C22;;C22;;high;First line in unresectable hepatocellular carcinoma (IMbrave150).;;;unique;;FALSE
175;Sorafenib;Sorafenib;NA;NA;NA;NA;NA;NA;C22;C73,C64;C22;C73,C64;high;"Hepatocellular carcinoma; also radioiodine-refractory thyroid carcinoma.";;;unique;;TRUE
176;Lenvatinib;Lenvatinib;NA;NA;NA;NA;NA;NA;C22,C73;C54,C64;C22,C73;C54,C64;high;"Hepatocellular and thyroid carcinoma; with pembrolizumab in endometrial carcinoma.";;;unique;;TRUE
177;Durvalumab + Gem/Cis;Durvalumab;Gemcitabin;Cisplatin;NA;NA;NA;NA;C22,C23,C24;;C22,C23,C24;;high;First line in advanced biliary tract cancer (TOPAZ-1).;;;unique;;FALSE
178;CAPTEM;Capecitabin;Temozolomid;NA;NA;NA;NA;NA;C25,C17;C34,C18,C73;C25,C17;C34,C18,C73;high;Neuroendocrine tumours, especially pancreatic.;;;unique;;FALSE
179;Streptozotocin + 5-FU;Streptozotocin;Fluorouracil;NA;NA;NA;NA;NA;C25;C17;C25;C17;high;Well-differentiated pancreatic neuroendocrine tumours.;;;unique;;FALSE
180;Imatinib;Imatinib;NA;NA;NA;NA;NA;NA;C92,C16,C17;C91,C18,C48,C49;C42,C16,C17;C42,C18,C48,C49;high;"CML and Philadelphia-positive ALL; also GIST, where the topography is stomach or small intestine rather than C42.";;;unique;;TRUE
181;Nilotinib;Nilotinib;NA;NA;NA;NA;NA;NA;C92;C91;C42;C42;high;Second-generation BCR-ABL TKI.;;;unique;;TRUE
182;Dasatinib;Dasatinib;NA;NA;NA;NA;NA;NA;C92;C91;C42;C42;high;Second-generation BCR-ABL TKI.;;;unique;;TRUE
183;FOLFOX + Bevacizumab;Fluorouracil;Folinsäure;Oxaliplatin;Bevacizumab;NA;NA;NA;C18,C19,C20;C16;C18,C19,C20;C16;high;;;;unique;;FALSE
184;FOLFIRI + Bevacizumab;Fluorouracil;Folinsäure;Irinotecan;Bevacizumab;NA;NA;NA;C18,C19,C20;;C18,C19,C20;;high;;;;unique;;FALSE
185;FOLFIRI + Cetuximab;Fluorouracil;Folinsäure;Irinotecan;Cetuximab;NA;NA;NA;C18,C19,C20;;C18,C19,C20;;high;RAS wild-type, left-sided primary.;;;unique;;FALSE
186;FOLFOX + Panitumumab;Fluorouracil;Folinsäure;Oxaliplatin;Panitumumab;NA;NA;NA;C18,C19,C20;;C18,C19,C20;;high;RAS wild-type.;;;unique;;FALSE
187;Trifluridin/Tipiracil;Trifluridin;Tipiracil;NA;NA;NA;NA;NA;C18,C19,C20;C16;C18,C19,C20;C16;high;Refractory colorectal and gastric cancer.;;;unique;;FALSE
188;Regorafenib;Regorafenib;NA;NA;NA;NA;NA;NA;C18,C19,C20;C17,C16,C22;C18,C19,C20;C17,C16,C22;high;Refractory colorectal cancer, GIST and hepatocellular carcinoma.;;;unique;;TRUE
189;Nigro;Fluorouracil;Mitomycin;NA;NA;NA;NA;NA;C21;;C21;;high;5-FU/mitomycin C with concurrent radiotherapy: definitive treatment of anal carcinoma.;;;unique;FUFAMI;FALSE
190;CROSS;Carboplatin;Paclitaxel;NA;NA;NA;NA;NA;C15;C16;C15;C16;high;"Neoadjuvant carboplatin/paclitaxel with radiotherapy. Substance set is identical to CarboTax; the difference is the concurrent radiotherapy and the weekly low-dose schedule.";DG05;CarboTax,PC ohne Bevacizumab;resolvable by entity;PC,PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE
191;PF;Cisplatin;Fluorouracil;NA;NA;NA;NA;NA;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31,C15,C16;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31,C15,C16;high;Cisplatin/5-FU, the backbone of EXTREME without cetuximab.;;;unique;ECF,EXTREME mit Cisplatin,PLF,Pembro + Platin/5-FU,TPF;FALSE
192;Cisplatin + RT;Cisplatin;NA;NA;NA;NA;NA;NA;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32,C53;C15,C33,C34;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32,C53;C15,C33,C34;high;Single-agent cisplatin concurrent with radiotherapy: definitive or adjuvant chemoradiotherapy in head and neck and cervical cancer.;;;unique;CV,Cis-Pem,DHAP,DVP,Durvalumab + Gem/Cis,ECF,EXTREME mit Cisplatin,GC (Gem/Cis),GDP-Schema,Gem-Cis,M-VAC,MAP,PAC,PE,PEB,PEI,PF,PLF,PVBI,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Platin/5-FU,R-DHAP,TIP,TPF,VIP,VeIP,XP;TRUE
193;Pembro + Platin/5-FU;Pembrolizumab;Cisplatin;Fluorouracil;NA;NA;NA;NA;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31;C01,C02,C03,C04,C05,C06,C09,C10,C13,C14,C32;C00,C07,C08,C11,C12,C30,C31;high;First line in recurrent or metastatic head and neck SCC (KEYNOTE-048).;;;unique;;FALSE
194;Paclitaxel/Cisplatin/Bevacizumab;Paclitaxel;Cisplatin;Bevacizumab;NA;NA;NA;NA;C53;;C53;;high;Advanced or recurrent cervical cancer (GOG-240).;;;unique;;FALSE
195;Avelumab Erhaltung;Avelumab;NA;NA;NA;NA;NA;NA;C67,C65,C66,C68;;C67,C65,C66,C68;;high;Switch maintenance after platinum-based first line in urothelial carcinoma.;;;unique;;TRUE
196;EV + Pembrolizumab;Enfortumab Vedotin;Pembrolizumab;NA;NA;NA;NA;NA;C67,C65,C66,C68;;C67,C65,C66,C68;;high;First line in advanced urothelial carcinoma (EV-302).;;;unique;;FALSE
197;Carboplatin mono;Carboplatin;NA;NA;NA;NA;NA;NA;C56,C57,C48;C34,C50,C62;C56,C57,C48;C34,C50,C62;high;;;;unique;Atezolizumab + Carbo/Etoposid,CEV,CROSS,CarboPemPem,CarboTax,DC (Doce/Carbo),DCbH,DeVIC,Durvalumab + Platin/Etoposid,EXTREME mit Carboplatin,GC (Gem/Carbo),GC-B,Gem-Carbo,ICE,M-Cavi,PC,PC mit Bevacizumab,PC ohne Bevacizumab,PE-Carbo,Peg. DoxC,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,R-DeVIC,R-ICE,TCH,VIPD;TRUE
198;PLD mono;Doxorubicin liposomal;NA;NA;NA;NA;NA;NA;C56,C57,C48;C50,C46;C56,C57,C48;C50,C46;high;Pegylated liposomal doxorubicin: recurrent ovarian cancer, also breast cancer and Kaposi sarcoma. Distinct product from conventional doxorubicin.;;;unique;;TRUE
199;Gem-Doce;Gemcitabin;Docetaxel;NA;NA;NA;NA;NA;C49;C54,C48,C40,C41;C49;C54,C48,C40,C41;high;Gemcitabine/docetaxel, particularly in leiomyosarcoma.;;;unique;;FALSE
200;Doxorubicin mono;Doxorubicin;NA;NA;NA;NA;NA;NA;C49,C48;C40,C41,C50,C54;C49,C48;C40,C41,C50,C54;high;Standard first line in advanced soft tissue sarcoma.;;;unique;A+AVD,ABVD,AC,ACO,ADR-IFO,AVD,BEACOPP,BrECADD,CAD,CHOEP,CHOP,DAC,EPOCH,EPOCH-R,FAC,Hyper-CVAD,M-VAC,MAP,PAC,PVAG-Schema,Peg. DoxC,Pola-R-CHP,R-CHOP,TAC,VIDE;TRUE
201;Trabectedin;Trabectedin;NA;NA;NA;NA;NA;NA;C49;C48,C56;C49;C48,C56;high;Pretreated liposarcoma and leiomyosarcoma.;;;unique;;TRUE
202;VIDE;Vincristin;Ifosfamid;Doxorubicin;Etoposid;NA;NA;NA;C40,C41,C49;C47;C40,C41,C49;C47;high;Induction in Ewing sarcoma (EURO-EWING).;;;unique;;FALSE
203;VAC;Vincristin;Actinomycin D;Cyclophosphamid;NA;NA;NA;NA;C49;C40,C41,C57,C62,C56;C49;C40,C41,C57,C62,C56;high;"Rhabdomyosarcoma (CWS protocols); also gestational trophoblastic neoplasia.";;;unique;;FALSE
204;MAP;Methotrexat;Doxorubicin;Cisplatin;NA;NA;NA;NA;C40,C41;C49;C40,C41;C49;high;Osteosarcoma (EURAMOS/COSS).;;;unique;M-VAC;FALSE
205;Lomustin mono;Lomustin;NA;NA;NA;NA;NA;NA;C71;C70,C72;C71;C70,C72;high;Recurrent glioblastoma.;;;unique;BOLD,PCV;TRUE
206;Bevacizumab mono;Bevacizumab;NA;NA;NA;NA;NA;NA;C71;C70,C72;C71;C70,C72;medium;"Recurrent glioblastoma; also used for symptomatic radiation necrosis.";;;unique;Atezolizumab + Bevacizumab,FOLFIRI + Bevacizumab,FOLFOX + Bevacizumab,GC-B,PC,PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab;TRUE
207;Azacitidin mono;Azacitidin;NA;NA;NA;NA;NA;NA;C92;C93,D46;C42;C42,D46;high;Higher-risk MDS and AML unfit for intensive therapy. D46 in secondary - drop if D-codes are out of scope.;;;unique;Azacitidin + Venetoclax;TRUE
208;Azacitidin + Venetoclax;Azacitidin;Venetoclax;NA;NA;NA;NA;NA;C92;D46;C42;C42,D46;high;Standard for AML unfit for intensive induction. D46 in secondary - drop if D-codes are out of scope.;;;unique;;FALSE
209;CPX-351;Cytarabin liposomal;Daunorubicin liposomal;NA;NA;NA;NA;NA;C92;D46;C42;C42,D46;high;Liposomal cytarabine/daunorubicin in therapy-related AML and AML with myelodysplasia-related changes. Distinct product from conventional DA.;;;unique;;FALSE
210;TAD;Thioguanin;Cytarabin;Daunorubicin;NA;NA;NA;NA;C92;C91;C42;C42;high;AMLCG induction/consolidation.;;;unique;;FALSE
211;ATRA + ATO;Tretinoin;Arsentrioxid;NA;NA;NA;NA;NA;C92;;C42;;high;Standard in acute promyelocytic leukaemia (ICD-10 C92.4).;;;unique;;FALSE
212;AIDA;Tretinoin;Idarubicin;NA;NA;NA;NA;NA;C92;;C42;;high;ATRA plus idarubicin in high-risk acute promyelocytic leukaemia.;;;unique;;FALSE
213;Blinatumomab;Blinatumomab;NA;NA;NA;NA;NA;NA;C91;;C42;;high;Bispecific T-cell engager in B-precursor ALL, including MRD-positive disease.;;;unique;;TRUE
214;Hyper-CVAD;Cyclophosphamid;Vincristin;Doxorubicin;Dexamethason;Mesna;NA;NA;C91,C83;C85,C88;C42,C77;C77;high;"Part A only; alternates with part B (high-dose methotrexate/cytarabine), which is not represented as a separate row.";;;unique;;FALSE
215;Pola-R-CHP;Polatuzumab Vedotin;Rituximab;Cyclophosphamid;Doxorubicin;Prednison;NA;NA;C83;C85;C77;C77;high;"Current first-line standard in DLBCL; vincristine is omitted relative to R-CHOP.";;;unique;;FALSE
216;R-CVP;Rituximab;Cyclophosphamid;Vincristin;Prednison;NA;NA;NA;C82,C83,C88;C85,C91;C77;C77,C42;high;Indolent B-cell lymphoma.;;;unique;EPOCH-R,R-CHOP;FALSE
217;O-Benda;Obinutuzumab;Bendamustin;NA;NA;NA;NA;NA;C82,C91;C83,C88,C85;C77,C42;C77;high;Obinutuzumab/bendamustine in follicular lymphoma and CLL.;;;unique;;FALSE
218;Venetoclax + Obinutuzumab;Venetoclax;Obinutuzumab;NA;NA;NA;NA;NA;C91;;C42;;high;Fixed-duration first line in CLL (CLL14).;;;unique;;FALSE
219;Venetoclax + Rituximab;Venetoclax;Rituximab;NA;NA;NA;NA;NA;C91;;C42;;high;Fixed-duration therapy in relapsed CLL (MURANO).;;;unique;;FALSE
220;Ibrutinib;Ibrutinib;NA;NA;NA;NA;NA;NA;C91;C83,C88;C42;C77;high;BTK inhibitor: CLL, mantle cell lymphoma, Waldenstroem macroglobulinaemia.;;;unique;;TRUE
221;Chlorambucil + Obinutuzumab;Chlorambucil;Obinutuzumab;NA;NA;NA;NA;NA;C91;C82;C42;C77;high;CLL in patients with comorbidity.;;;unique;;FALSE
222;A+AVD;Brentuximab;Doxorubicin;Vinblastin;Dacarbazin;NA;NA;NA;C81;;C77;;high;Brentuximab vedotin plus AVD in advanced-stage Hodgkin lymphoma.;;;unique;;FALSE
223;Brentuximab mono;Brentuximab;NA;NA;NA;NA;NA;NA;C81,C84;C85;C77;C77;high;Hodgkin lymphoma and CD30-positive T-cell lymphoma.;;;unique;A+AVD,BrECADD;TRUE
224;D-VTd;Daratumumab;Bortezomib;Thalidomid;Dexamethason;NA;NA;NA;C90;;C42;;high;Transplant-eligible first line in myeloma (CASSIOPEIA).;;;unique;;FALSE
225;D-Rd;Daratumumab;Lenalidomid;Dexamethason;NA;NA;NA;NA;C90;;C42;;high;Transplant-ineligible first line in myeloma (MAIA).;;;unique;;FALSE
226;D-VMP;Daratumumab;Bortezomib;Melphalan;Prednison;NA;NA;NA;C90;;C42;;high;Transplant-ineligible first line in myeloma (ALCYONE).;;;unique;;FALSE
227;Pom-Dex;Pomalidomid;Dexamethason;NA;NA;NA;NA;NA;C90;;C42;;high;Relapsed/refractory myeloma.;;;unique;;FALSE
