Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.Confidence;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICD10.Short.SecondaryUse.Confidence;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.Confidence;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short.SecondaryUse.Confidence;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.Confidence;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICD10.Detailed.SecondaryUse.Confidence;Inclusion.ICDO.Morphology;Inclusion.ICDO.Morphology.Confidence;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAll.Confidence;Inclusion.Biomarker.RequiredAny;Inclusion.Biomarker.RequiredAny.Confidence;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
FOLFOX;Fluorouracil;Folinsäure;Oxaliplatin;;;;;C18, C19, C20;high;C16, C15, C25, C22, C23, C24;low;C18, C19, C20;high;C16, C15, C25, C22, C23, C24;low;;;;;8140/3;medium;;;;;high;DG03;FLO;resolvable by entity;FLOT,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,Folfirinox;FALSE;first-line;high;adjuvant,perioperative,palliative;high
FOLFOX + Bevacizumab;Fluorouracil;Folinsäure;Oxaliplatin;Bevacizumab;;;;C18, C19, C20;high;C16;high;C18, C19, C20;high;C16;high;;;;;8140/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
FOLFOX + Panitumumab;Fluorouracil;Folinsäure;Oxaliplatin;Panitumumab;;;;C18, C19, C20;high;;;C18, C19, C20;high;;;C18.5-C18.7, C19, C20;medium;;;8140/3;medium;RAS wild-type;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
FOLFOXIRI;Fluorouracil;Folinsäure;Irinotecan;Oxaliplatin;;;;C18, C19, C20;high;C16, C25;high;C18, C19, C20;high;C16, C25;high;;;;;8140/3;medium;;;;;high;DG04;Folfirinox;resolvable by entity;;FALSE;first-line;high;palliative;high
FUFAMI;Fluorouracil;Folinsäure;Mitomycin;;;;;C18, C19, C20;medium;C21, C16;medium;C18, C19, C20;medium;C21, C16;medium;;;;;8140/3;medium;;;;;medium;;;unique;;FALSE;;;palliative;medium
Fulvestrant mono;Fulvestrant;;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;Abemaciclib + Fulvestrant;TRUE;first-line and later;medium;palliative,long-term endocrine;high
GC-B (Carbo);Bevacizumab;Carboplatin;Gemcitabin;;;;;C56, C57, C48;high;C34;high;C56, C57, C48;high;C34;high;;;;;8441/3,8460/3,8461/3;medium;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
GC-B (Cis);Bevacizumab;Cisplatin;Gemcitabin;;;;;C56, C57, C48;high;C34;high;C56, C57, C48;high;C34;high;;;;;8140/3,8250/3,8255/3;medium;;;;;high;;;unique;;FALSE;first-line;low;palliative;medium
GDP-Schema;Cisplatin;Gemcitabin;Dexamethason;;;;;C81, C83, C85;high;C82, C84, C86;medium;C77;high;C77;medium;C81, C83.3, C85;medium;;;9680/3,9690/3,9673/3,9650/3-9667/3;medium;;;;;high;;;unique;;FALSE;second-line+;high;salvage;high
GELOX;Asparaginase;Gemcitabin;Oxaliplatin;;;;;C86;high;C84;high;C11, C30;high;C77;high;C86.0;high;;;9719/3;high;;;;;high;;;unique;;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
Gem + Nab-Paclitaxel;Gemcitabin;Nab-Paclitaxel;;;;;;C25;high;;;C25;high;;;C25.0-C25.3;high;;;8140/3,8500/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Gem-Carbo;Carboplatin;Gemcitabin;;;;;;C34, C56, C67;medium;C50, C45, C57, C48, C22, C23, C24;low;C34, C56, C67;medium;C50, C45, C57, C48, C22, C23, C24;low;;;;;8120/3,8441/3,8460/3,8461/3,8140/3,8250/3,8255/3;medium;;;;;medium;;;unique;GC-B (Carbo);FALSE;first-line;high;palliative;high
Gem-Cis;Cisplatin;Gemcitabin;;;;;;C22, C23, C24, C67, C34;high;C25, C45, C53, C11, C65, C66;low;C22, C23, C24, C67, C34;high;C25, C45, C53, C11, C65, C66;low;C22.1, C23, C24, C67, C34;high;;;8160/3,8120/3,8140/3,8250/3,8255/3;medium;;;;;high;;;unique;Durvalumab + Gem/Cis,GC-B (Cis),GDP-Schema;FALSE;first-line;high;palliative;high
Gem-Doce;Gemcitabin;Docetaxel;;;;;;C49;high;C54, C48, C40, C41;medium;C49;high;C54, C48, C40, C41;medium;;;;;8800/3-8890/3;medium;;;;;high;;;unique;;FALSE;first-line and later;medium;palliative;medium
GemOx;Gemcitabin;Oxaliplatin;;;;;;C22,C23,C24,C25;high;C83,C85,C84,C86,C16;medium;C22,C23,C24,C25;high;C77,C16;medium;C22.1, C23, C24, C25.0-C25.3;high;;;8160/3,8140/3,8500/3;medium;;;;;high;;;unique;GELOX,P-GEMOX,R-GemOx;FALSE;;;palliative;medium
GnRH-Analogon (ADT);GnRH-Analogon;;;;;;;C61;high;C50;high;C61;high;C50;high;;;;;8140/3,8500/3,8520/3;medium;;;;;high;;;unique;AI + GnRH-Analogon,Tamoxifen + GnRH-Analogon;TRUE;first-line;medium;adjuvant,palliative,long-term endocrine;high
HAM;Cytarabin ;Mitoxantron;;;;;;C92;medium;C91, C93, D46;medium;C42;medium;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;medium;;;unique;MAV;FALSE;first-line;medium;induction,consolidation;medium
Hyper-CVAD;Cyclophosphamid;Vincristin;Doxorubicin;Dexamethason;Mesna;;;C91, C83;high;C85, C88;high;C42, C77;high;C77;high;C91.0, C83.7;high;;;9811/3,9835/3,9687/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
Ibrutinib;Ibrutinib;;;;;;;C91;high;C83, C88;high;C42;high;C77;high;C91.1;high;C83.1, C88.0;high;9823/3,9673/3,9761/3;high;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
ICE;Carboplatin;Etoposid;Ifosfamid;;;;;C81, C83, C85;high;C34, C40, C41, C49, C62, C84, C86;low;C77;high;C34, C40, C41, C49, C62, C77;low;C81, C83.3, C85;medium;;;9680/3,9690/3,9673/3,9650/3-9667/3;medium;;;;;high;;;unique;DeVIC,R-DeVIC,R-ICE;FALSE;second-line+;high;salvage;high
IEV;Epirubicin;Etoposid;Ifosfamid;;;;;C81, C83, C85;medium;C49, C40, C41;medium;C77;medium;C49, C40, C41;medium;C81, C83.3, C85;medium;;;9680/3,9690/3,9673/3,9650/3-9667/3;medium;;;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
Imatinib;Imatinib;;;;;;;C92, C16, C17;high;C91, C18, C48, C49;medium;C42, C16, C17;high;C42, C18, C48, C49;medium;C92.1, C16, C17;high;;;9863/3,9875/3,8936/3;high;;;BCR-ABL1-positive, KIT-positive;high;high;;;unique;;TRUE;first-line;high;palliative,adjuvant;high
IMVP-16;Etoposid;Ifosfamid;Methotrexat;;;;;C83, C85;medium;C81, C84;medium;C77;medium;C77;medium;C83.3, C85;medium;;;9680/3,9690/3,9673/3;medium;;;;;medium;;;unique;SMILE;FALSE;second-line+;high;salvage;high
Instillation Intrathekal Quadrupel;Cytarabin;Methotrexat;Dexamethason;Rituximab;;;;C83, C85, C91;medium;C92, C84, C86;medium;C70;high;C77, C42;high;C83.3, C85, C91;medium;;;9680/3,9690/3,9673/3;medium;CD20-positive;high;;;medium;;;unique;;FALSE;;;CNS-directed;high
Instillation Intrathekal Tripel;Cytarabin;Methotrexat;Dexamethason;;;;;C91, C83, C85;medium;C92, C84, C86, C50, C34;medium;C70;high;C77, C42;high;C91.0, C83.3, C85;medium;;;9811/3,9835/3,9680/3,9690/3,9673/3;medium;;;;;medium;;;unique;Instillation Intrathekal Quadrupel;FALSE;;;CNS-directed;high
IRd;Ixazomib;Lenalidomid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Knospe;Chlorambucil;Prednison;;;;;;C91;high;C82, C83, C88;medium;C42;high;C77;medium;C91.1;high;;;9823/3;high;;;;;high;;;unique;Knospe modifiziert,R-MCP;FALSE;first-line;medium;palliative;high
Knospe modifiziert;Chlorambucil;Prednison;Rituximab;;;;;C91;high;C82, C88;high;C42;high;C77;high;C91.1;high;;;9823/3;high;CD20-positive;high;;;high;;;unique;R-MCP;FALSE;first-line;medium;palliative;high
KRD;Carfilzomib;Lenalidomid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Lanreotid;Lanreotid;;;;;;;C25, C17, C18;high;C34, C19, C20;medium;C25, C17, C18;high;C34, C19, C20;medium;C25.4, C17, C18;high;;;8240/3,8246/3,8249/3;high;SSTR-positive;high;;;high;;;unique;;TRUE;first-line;high;palliative;high
Lenvatinib;Lenvatinib;;;;;;;C22, C73;high;C54, C64;high;C22, C73;high;C54, C64;high;C22.0, C73;high;;;8170/3,8330/3,8340/3,8260/3;medium;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Letrozol mono;Letrozol;;;;;;;C50;high;C54;high;C50;high;C54;high;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;Palbociclib + Letrozol,Ribociclib + Letrozol;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
Lomustin mono;Lomustin;;;;;;;C71;high;C70, C72;high;C71;high;C70, C72;high;;;;;9440/3,9445/3;high;;;;;high;;;unique;BOLD,PCV;TRUE;second-line+;high;palliative;high
MAMAC;Amsacrin;Cytarabin;;;;;;C92;medium;C91;medium;C42;medium;C42;medium;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
MAP;Methotrexat;Doxorubicin;Cisplatin;;;;;C40, C41;high;C49;high;C40, C41;high;C49;high;;;;;9180/3-9187/3;high;;;;;high;;;unique;M-VAC;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
MATRix;Cytarabin;Methotrexat;Rituximab;Thiotepa;;;;C83;high;C85;high;C71;high;C77;high;C83.3;high;;;9680/3;high;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
MAV;Cytarabin;Etoposid;Mitoxantron;;;;;C92;medium;C91, D46;medium;C42;medium;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;medium;;;unique;;FALSE;;;salvage;low
M-Cavi;Carboplatin;Methotrexat;Vinblastin;;;;;C67, C65, C66, C68;high;;;C67, C65, C66, C68;high;;;;;;;8120/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Medroxyprogesteronacetat;Medroxyprogesteronacetat;;;;;;;C54;high;C56;high;C54;high;C56;high;;;;;8380/3;medium;HR-positive;medium;;;high;;;unique;;TRUE;;;palliative,long-term endocrine;medium
Megestrolacetat;Megestrolacetat;;;;;;;C54;high;C50;high;C54;high;C50;high;;;;;8380/3;medium;HR-positive;medium;;;high;;;unique;;TRUE;;;palliative,long-term endocrine;medium
MPT;Melphalan;Thalidomid;Prednison;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
M-VAC;Cisplatin;Doxorubicin;Methotrexat;Vinblastin;;;;C67, C65, C66, C68;high;;;C67, C65, C66, C68;high;;;;;;;8120/3;high;;;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,palliative;high
Nab-Paclitaxel mono;Nab-Paclitaxel;;;;;;;C50;high;C34, C25;high;C50;high;C34, C25;high;;;;;8500/3,8520/3;medium;;;;;high;;;unique;Gem + Nab-Paclitaxel;TRUE;;;palliative;medium
nal-IRI + 5-FU/FA;Irinotecan liposomal;Fluorouracil;Folinsäure;;;;;C25;high;;;C25;high;;;C25.0-C25.3;high;;;8140/3,8500/3;medium;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Nigro;Fluorouracil;Mitomycin;;;;;;C21;high;;;C21;high;;;;;;;8070/3;high;;;;;high;;;unique;FUFAMI;FALSE;first-line;high;chemoradiotherapy,curative-intent;high
Nilotinib;Nilotinib;;;;;;;C92;high;C91;high;C42;high;C42;high;C92.1;high;;;9863/3,9875/3;high;BCR-ABL1-positive;high;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Niraparib;Niraparib;;;;;;;C56, C57, C48;high;;;C56, C57, C48;high;;;;;;;8441/3,8460/3,8461/3;medium;;;;;high;;;unique;;TRUE;;;maintenance;high
Nivolumab + Ipilimumab;Nivolumab;Ipilimumab;;;;;;C43, C64;high;C45, C18, C19, C20, C22, C34, C69;low;C43, C64;high;C45, C18, C19, C20, C22, C34, C69;low;;;;;8720/3,8310/3,8312/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Nivolumab mono;Nivolumab;;;;;;;C34, C43, C64;high;C32, C09, C10, C15, C16, C67, C22, C81, C45;low;C34, C43, C64;high;C32, C09, C10, C15, C16, C67, C22, C77, C45;low;;;;;;;;;;;high;;;unique;Nivolumab + Ipilimumab;TRUE;first-line and later;medium;adjuvant,palliative;medium
O-Benda;Obinutuzumab;Bendamustin;;;;;;C82, C91;high;C83, C88, C85;medium;C77, C42;high;C77;medium;C82, C91.1;high;;;9690/3,9691/3,9695/3,9698/3,9823/3;medium;CD20-positive;high;;;high;;;unique;;FALSE;first-line and later;medium;palliative;high
Octreotid LAR;Octreotid;;;;;;;C25, C17, C18;high;C34, C73, C19, C20;medium;C25, C17, C18;high;C34, C73, C19, C20;medium;C25.4, C17, C18;high;;;8240/3,8246/3,8249/3;high;SSTR-positive;high;;;high;;;unique;;TRUE;first-line;high;palliative;high
Olaparib;Olaparib;;;;;;;C50, C56, C61, C25;high;C57, C48;high;C50, C56, C61, C25;high;C57, C48;high;C50, C56, C61, C25.0-C25.3;high;;;8441/3,8460/3,8461/3,8500/3,8520/3,8140/3;medium;BRCA1/2-mutated;high;;;high;;;unique;;TRUE;;;maintenance,palliative;high
Osimertinib;Osimertinib;;;;;;;C34;high;;;C34;high;;;;;;;8140/3,8250/3,8255/3;medium;EGFR-mutated;high;;;high;;;unique;;TRUE;first-line;high;adjuvant,palliative;high
PAC;Cisplatin;Cyclophosphamid;Doxorubicin;;;;;C56, C54;medium;C57, C48, C49;medium;C56, C54;medium;C57, C48, C49;medium;;;;;8441/3,8460/3,8461/3,8380/3;medium;;;;;medium;;;unique;;FALSE;first-line;medium;palliative;medium
Paclitaxel mono;Paclitaxel;;;;;;;C50;high;C56, C57, C48, C34, C15;medium;C50;high;C56, C57, C48, C34, C15;medium;;;;;8500/3,8520/3,8441/3,8460/3,8461/3;medium;;;;;high;;;unique;CROSS,EC-P,PC,PC mit Bevacizumab,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Carbo/Paclitaxel,Ramucirumab + Paclitaxel,TIP;TRUE;first-line and later;medium;adjuvant,palliative;medium
Paclitaxel/Cisplatin/Bevacizumab;Paclitaxel;Cisplatin;Bevacizumab;;;;;C53;high;;;C53;high;;;;;;;8070/3,8140/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Palbociclib + Letrozol;Palbociclib;Letrozol;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive, HER2-negative;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pazopanib;Pazopanib;;;;;;;C64, C49;high;C48;high;C64, C49;high;C48;high;;;;;8310/3,8312/3,8800/3-8890/3;medium;;;;;high;;;unique;;TRUE;;;palliative;medium
PC;Carboplatin;Paclitaxel;;;;;;C56, C57, C48, C34, C54;high;C53, C15, C32, C67, C50, C37, C80;low;C56, C57, C48, C34, C54;high;C53, C15, C32, C67, C50, C37, C80;low;;;;;8441/3,8460/3,8461/3,8140/3,8250/3,8255/3;medium;;;;;high;DG02;CROSS;resolvable by entity;PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE;first-line;high;palliative;high
PC mit Bevacizumab;Bevacizumab;Carboplatin;Paclitaxel;;;;;C56, C57, C48, C34;high;C53, C54, C18, C19, C20;medium;C56, C57, C48, C34;high;C53, C54, C18, C19, C20;medium;;;;;8441/3,8460/3,8461/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
PCV;Lomustin;Procarbazin;Vincristin;;;;;C71;high;C70, C72;high;C71;high;C70, C72;high;;;;;9450/3,9451/3;high;1p/19q-codeleted;high;;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative;high
PE;Cisplatin;Etoposid;;;;;;C34;high;C37, C62, C56, C25, C80, C33;low;C34;high;C37, C62, C56, C25, C80, C33;low;;;C37, C62, C56, C25.4, C80, C33;high;8041/3-8045/3,8240/3,8246/3,8249/3;high;;;;;high;;;unique;PEB,PEI,VIPD;FALSE;first-line;high;palliative,chemoradiotherapy;high
PEB;Bleomycin;Cisplatin;Etoposid;;;;;C62;high;C56, C38, C48, C71;medium;C62;high;C56, C38, C48, C71;medium;;;;;9060/3-9102/3;high;;;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
PE-Carbo;Carboplatin;Etoposid;;;;;;C34;high;C37, C25, C80, C33;medium;C34;high;C37, C25, C80, C33;medium;;;C37, C25.4, C80, C33;high;8041/3-8045/3,8240/3,8246/3,8249/3;high;;;;;high;;;unique;Atezolizumab + Carbo/Etoposid,CEV,DeVIC,Durvalumab + Platin/Etoposid,ICE,R-DeVIC,R-ICE;FALSE;first-line;high;palliative;high
PEI;Cisplatin;Etoposid;Ifosfamid;;;;;C62;high;C34, C38, C48, C56, C49;medium;C62;high;C34, C38, C48, C56, C49;medium;;;;;9060/3-9102/3;high;;;;;high;;;unique;VIPD;FALSE;first-line and later;medium;salvage;medium
Pembro + Carbo/Paclitaxel;Pembrolizumab;Carboplatin;Paclitaxel;;;;;C34;high;C53;high;C34;high;C53;high;;;;;8070/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pembro + Carbo/Pem;Pembrolizumab;Carboplatin;Pemetrexed;;;;;C34;high;;;C34;high;;;;;;;8140/3,8250/3,8255/3;medium;;;;;high;DG01;CarboPemPem;partly resolvable by entity;;FALSE;first-line;high;palliative;high
Pembro + Platin/5-FU;Pembrolizumab;Cisplatin;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31;low;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31;low;;;;;8070/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pembrolizumab + Axitinib;Pembrolizumab;Axitinib;;;;;;C64;high;;;C64;high;;;;;;;8310/3,8312/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Pembrolizumab mono;Pembrolizumab;;;;;;;C34, C43;high;C67, C65, C66, C68, C32, C09, C10, C15, C16, C18, C22, C53, C80;low;C34, C43;high;C67, C65, C66, C68, C32, C09, C10, C15, C16, C18, C22, C53, C80;low;;;;;;;;;;;high;;;unique;CarboPemPem,EV + Pembrolizumab,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,Pembro + Platin/5-FU,Pembrolizumab + Axitinib;TRUE;first-line and later;medium;adjuvant,palliative;medium
PF;Cisplatin;Fluorouracil;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15, C16;low;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15, C16;low;;;;;8070/3;high;;;;;high;;;unique;ECF,EXTREME mit Cisplatin,PLF,Pembro + Platin/5-FU,TPF;FALSE;first-line;medium;palliative,neoadjuvant;medium
P-GEMOX;Pegaspargase;Gemcitabin;Oxaliplatin;;;;;C86;high;C84;high;C11, C30;high;C77;high;C86.0;high;;;9719/3;high;;;;;high;;;unique;;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
PLD mono;Doxorubicin liposomal;;;;;;;C56, C57, C48;high;C50, C46;high;C56, C57, C48;high;C50, C46;high;;;;;8441/3,8460/3,8461/3;medium;;;;;high;;;unique;;TRUE;second-line+;high;palliative;high
PLF;Cisplatin;Fluorouracil;Folinsäure;;;;;C16, C15;medium;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;low;C16, C15;medium;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;low;;;;;8140/3,8144/3;medium;;;;;medium;;;unique;;FALSE;first-line;high;palliative;high
Pola-R-CHP;Polatuzumab Vedotin;Rituximab;Cyclophosphamid;Doxorubicin;Prednison;;;C83;high;C85;high;C77;high;C77;high;C83.3;high;;;9680/3;high;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Pom-Dex;Pomalidomid;Dexamethason;;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
PVAG-Schema;Doxorubicin;Gemcitabin;Vinblastin;Prednison;;;;C81;high;;;C77;high;;;;;;;9650/3-9667/3;high;;;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
PVBI;Bleomycin;Cisplatin;Ifosfamid;Vinblastin;;;;C62;medium;C56, C38;medium;C62;medium;C56, C38;medium;;;;;9060/3-9102/3;high;;;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
Ramucirumab + Paclitaxel;Ramucirumab;Paclitaxel;;;;;;C16, C15;high;;;C16, C15;high;;;;;;;8140/3,8144/3;medium;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
R-BAC;Bendamustin;Cytarabin;Rituximab;;;;;C83;high;C82, C85, C88;medium;C77;high;C77;medium;C83.1;high;;;9673/3;high;CD20-positive;high;;;high;;;unique;;FALSE;second-line+;medium;salvage;high
R-Bendamustin;Bendamustin;Rituximab;;;;;;C82, C83, C88, C91;high;C85;high;C77, C42;high;C77;high;C82, C83.1, C88.4, C91.1;medium;;;9690/3,9691/3,9695/3,9698/3,9689/3,9699/3,9673/3,9823/3;medium;CD20-positive;high;;;high;;;unique;R-BAC;FALSE;first-line and later;medium;palliative;high
R-CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Rituximab;Prednison;;;C82, C83, C85;high;C88, C91, C86;medium;C77;high;C77, C42;medium;C82, C83.3, C85;high;;;9680/3,9690/3,9691/3,9695/3,9698/3;medium;CD20-positive;high;;;high;;;unique;EPOCH-R;FALSE;first-line;high;curative-intent;high
R-CVP;Rituximab;Cyclophosphamid;Vincristin;Prednison;;;;C82, C83, C88;high;C85, C91;high;C77;high;C77, C42;high;C82, C83, C88.4;medium;;;9690/3,9691/3,9695/3,9698/3,9689/3,9699/3;medium;CD20-positive;high;;;high;;;unique;EPOCH-R,R-CHOP;FALSE;first-line;high;palliative;high
R-DeVIC;Carboplatin;Etoposid;Ifosfamid;Rituximab;Dexamethason;;;C83, C85;medium;C82;medium;C77;medium;C77;medium;C83.3, C85;medium;;;9680/3,9690/3,9673/3;medium;CD20-positive;high;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
R-DHAP;Cisplatin;Cytarabin;Rituximab;Dexamethason;;;;C83, C85, C82;high;C88, C91;high;C77;high;C77, C42;high;C83.3, C85, C82;medium;;;9680/3,9690/3,9673/3;medium;CD20-positive;high;;;high;;;unique;;FALSE;second-line+;high;salvage;high
RD-Schema;Lenalidomid;Dexamethason;;;;;;C90;high;C88, C82, D46;medium;C42;high;C42, D46;high;C90.0;high;;;9732/3;high;;;;;high;;;unique;D-Rd,ELO-Rd,IRd,KRD,VRD;FALSE;first-line and later;medium;palliative;high
Regorafenib;Regorafenib;;;;;;;C18, C19, C20;high;C17, C16, C22;medium;C18, C19, C20;high;C17, C16, C22;medium;;;;;8140/3,8936/3;medium;;;;;high;;;unique;;TRUE;second-line+;high;palliative;high
R-GemOx;Gemcitabin;Oxaliplatin;Rituximab;;;;;C83, C85;high;C82, C88;high;C77;high;C77;high;C83.3, C85;medium;;;9680/3,9690/3,9673/3;medium;CD20-positive;high;;;high;;;unique;;FALSE;second-line+;high;salvage,palliative;high
R-HAD;Cytarabin;Rituximab;Dexamethason;;;;;C83;medium;C82, C85;medium;C77;medium;C77;medium;C83.1;high;;;9673/3;high;CD20-positive;high;;;medium;;;unique;Instillation Intrathekal Quadrupel,R-DHAP;FALSE;second-line+;high;salvage;high
Ribociclib + Letrozol;Ribociclib;Letrozol;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive, HER2-negative;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
R-ICE;Carboplatin;Etoposid;Ifosfamid;Rituximab;;;;C83, C85;high;C82;high;C77;high;C77;high;C83.3, C85;medium;;;9680/3,9690/3,9673/3;medium;CD20-positive;high;;;high;;;unique;R-DeVIC;FALSE;second-line+;high;salvage;high
R-MCP;Chlorambucil;Mitoxantron;Rituximab;Prednison;;;;C82, C83, C88;high;C91, C85;high;C77;high;C42, C77;high;C82, C83, C88.4;medium;;;9690/3,9691/3,9695/3,9698/3,9689/3,9699/3;medium;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
R-MP;Methotrexat;Procarbazin;Rituximab;;;;;C83;medium;C85;medium;C71;high;C77;medium;C83.3;high;;;9680/3;high;CD20-positive;high;;;medium;;;unique;;FALSE;first-line;low;induction;medium
S-HAI;Cytarabin;Idarubicin;;;;;;C92;medium;C91;medium;C42;medium;C42;medium;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;medium;;;unique;FLAG-Ida;FALSE;second-line+;high;salvage;high
SMILE;Asparaginase;Etoposid;Ifosfamid;Methotrexat;Dexamethason;;;C86;high;C84;high;C11, C30;high;C77;high;C86.0;high;;;9719/3;high;;;;;high;;;unique;;FALSE;second-line+;high;salvage;high
Sorafenib;Sorafenib;;;;;;;C22;high;C73, C64;high;C22;high;C73, C64;high;C22.0;high;;;8170/3,8330/3,8340/3,8260/3;medium;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Streptozotocin + 5-FU;Streptozotocin;Fluorouracil;;;;;;C25;high;C17;high;C25;high;C17;high;C25.4;high;;;8240/3,8246/3,8249/3;high;;;;;high;;;unique;;FALSE;first-line and later;medium;palliative;medium
Sunitinib;Sunitinib;;;;;;;C64;high;C17, C16, C18, C25;medium;C64;high;C17, C16, C18, C25;medium;;;C17, C16, C18, C25.4;high;8310/3,8312/3,8936/3,8240/3,8246/3,8249/3;medium;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
TAC ;Cyclophosphamid;Docetaxel;Doxorubicin;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
TAD;Thioguanin;Cytarabin;Daunorubicin;;;;;C92;high;C91;high;C42;high;C42;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction,consolidation;high
